t,x,y,z
3,1,7,-0.0213518
3,1,8,-0.0169083
3,1,9,-0.0133895
3,2,0,0.215144
3,2,1,0.17037
3,2,2,0.134914
3,2,3,0.106837
3,2,4,0.0846032
3,2,5,0.0669964
3,2,6,0.0530537
3,2,7,0.0420127
3,2,8,0.0332694
3,2,9,0.0263457
3,3,0,0.252669
3,3,1,0.200086
3,3,2,0.158446
3,3,3,0.125472
3,3,4,0.0993597
3,3,5,0.0786819
3,3,6,0.0623074
3,3,7,0.0493406
3,3,8,0.0390723
3,3,9,0.0309409
3,4,0,0.0812995
3,4,1,0.0643802
3,4,2,0.050982
3,4,3,0.0403721
3,4,4,0.0319703
3,4,5,0.0253169
3,4,6,0.0200482
3,4,7,0.015876
3,4,8,0.012572
3,4,9,0.00995565
3,5,0,-0.0888763
3,5,1,-0.0703802
3,5,2,-0.0557334
3,5,3,-0.0441347
3,5,4,-0.0349498
3,5,5,-0.0276764
3,5,6,-0.0219166
3,5,7,-0.0173555
3,5,8,-0.0137437
3,5,9,-0.0108835
3,6,0,-0.127035
3,6,1,-0.100598
3,6,2,-0.0796624
3,6,3,-0.0630838
3,6,4,-0.0499554
3,6,5,-0.0395592
3,6,6,-0.0313265
3,6,7,-0.0248071
3,6,8,-0.0196445
3,6,9,-0.0155563
3,7,0,-0.0529732
3,7,1,-0.0419489
3,7,2,-0.0332189
3,7,3,-0.0263057
3,7,4,-0.0208312
3,7,5,-0.016496
3,7,6,-0.013063
3,7,7,-0.0103445
3,7,8,-0.00819168
3,7,9,-0.00648691
3,8,0,0.0343322
3,8,1,0.0271873
3,8,2,0.0215294
3,8,3,0.0170489
3,8,4,0.0135008
3,8,5,0.0106912
3,8,6,0.00846623
3,8,7,0.00670432
3,8,8,0.00530908
3,8,9,0.0042042
3,9,0,0.0625977
3,9,1,0.0495704
3,9,2,0.0392543
3,9,3,0.0310851
3,9,4,0.0246159
3,9,5,0.0194931
3,9,6,0.0154364
3,9,7,0.0122239
3,9,8,0.00967999
3,9,9,0.00766549
4,0,0,-0.329343
4,0,1,-0.260804
4,0,2,-0.206528
4,0,3,-0.163547
4,0,4,-0.129511
4,0,5,-0.102559
4,0,6,-0.0812151
4,0,7,-0.0643134
4,0,8,-0.0509291
4,0,9,-0.0403302
4,1,0,-0.307014
4,1,1,-0.243121
4,1,2,-0.192525
4,1,3,-0.152459
4,1,4,-0.12073
4,1,5,-0.0956051
4,1,6,-0.0757087
4,1,7,-0.0599529
4,1,8,-0.0474761
4,1,9,-0.0375958
4,2,0,-0.0561899
4,2,1,-0.0444962
4,2,2,-0.0352361
4,2,3,-0.0279031
4,2,4,-0.0220962
4,2,5,-0.0174977
4,2,6,-0.0138563
4,2,7,-0.0109726
4,2,8,-0.00868911
4,2,9,-0.00688082
4,3,0,0.144442
4,3,1,0.114382
4,3,2,0.0905781
4,3,3,0.0717278
4,3,4,0.0568005
4,3,5,0.0449797
4,3,6,0.035619
4,3,7,0.0282063
4,3,8,0.0223363
4,3,9,0.0176879
4,4,0,0.158838
4,4,1,0.125782
4,4,2,0.0996056
4,4,3,0.0788766
4,4,4,0.0624616
4,4,5,0.0494627
4,4,6,0.039169
4,4,7,0.0310175
4,4,8,0.0245624
4,4,9,0.0194507
4,5,0,0.0453427
4,5,1,0.0359064
4,5,2,0.0284339
4,5,3,0.0225165
4,5,4,0.0178306
4,5,5,0.0141199
4,5,6,0.0111814
4,5,7,0.00885442
4,5,8,0.00701172
4,5,9,0.00555251
4,6,0,-0.0608049
4,6,1,-0.0481508
4,6,2,-0.0381301
4,6,3,-0.0301948
4,6,4,-0.023911
4,6,5,-0.0189349
4,6,6,-0.0149943
4,6,7,-0.0118738
4,6,8,-0.00940277
4,6,9,-0.00744596
4,7,0,-0.0804659
4,7,1,-0.0637201
4,7,2,-0.0504593
4,7,3,-0.0399582
4,7,4,-0.0316425
4,7,5,-0.0250573
4,7,6,-0.0198426
4,7,7,-0.0157132
4,7,8,-0.0124431
4,7,9,-0.00985357
4,8,0,-0.0307261
4,8,1,-0.0243317
4,8,2,-0.019268
4,8,3,-0.0152581
4,8,4,-0.0120828
4,8,5,-0.00956822
4,8,6,-0.00757697
4,8,7,-0.00600012
4,8,8,-0.00475144
4,8,9,-0.00376261
4,9,0,0.0241663
4,9,1,0.0191371
4,9,2,0.0151545
4,9,3,0.0120007
4,9,4,0.00950319
4,9,5,0.00752548
4,9,6,0.00595935
4,9,7,0.00471914
4,9,8,0.00373704
4,9,9,0.00295932
5,0,0,0.0080962
5,0,1,0.0064113
5,0,2,0.00507704
5,0,3,0.00402046
5,0,4,0.00318376
5,0,5,0.00252118
5,0,6,0.0019965
5,0,7,0.00158101
5,0,8,0.00125198
5,0,9,0.000991432
5,1,0,-0.217115
5,1,1,-0.171931
5,1,2,-0.13615
5,1,3,-0.107816
5,1,4,-0.0853785
5,1,5,-0.0676103
5,1,6,-0.0535399
5,1,7,-0.0423977
5,1,8,-0.0335743
5,1,9,-0.0265871
5,2,0,-0.190867
5,2,1,-0.151145
5,2,2,-0.11969
5,2,3,-0.0947815
5,2,4,-0.0750565
5,2,5,-0.0594365
5,2,6,-0.0470671
5,2,7,-0.037272
5,2,8,-0.0295153
5,2,9,-0.0233728
5,3,0,-0.0271778
5,3,1,-0.0215218
5,3,2,-0.0170429
5,3,3,-0.0134961
5,3,4,-0.0106874
5,3,5,-0.00846326
5,3,6,-0.00670197
5,3,7,-0.00530722
5,3,8,-0.00420273
5,3,9,-0.0033281
5,4,0,0.0964338
5,4,1,0.0763649
5,4,2,0.0604726
5,4,3,0.0478876
5,4,4,0.0379217
5,4,5,0.0300298
5,4,6,0.0237803
5,4,7,0.0188313
5,4,8,0.0149123
5,4,9,0.0118089
5,5,0,0.0995632
5,5,1,0.078843
5,5,2,0.062435
5,5,3,0.0494416
5,5,4,0.0391523
5,5,5,0.0310043
5,5,6,0.024552
5,5,7,0.0194425
5,5,8,0.0153963
5,5,9,0.0121921
5,6,0,0.0247256
5,6,1,0.0195799
5,6,2,0.0155051
5,6,3,0.0122784
5,6,4,0.00972311
5,6,5,0.00769963
5,6,6,0.00609725
5,6,7,0.00482835
5,6,8,0.00382352
5,6,9,0.00302781
5,7,0,-0.0412768
5,7,1,-0.0326867
5,7,2,-0.0258842
5,7,3,-0.0204975
5,7,4,-0.0162317
5,7,5,-0.0128537
5,7,6,-0.0101787
5,7,7,-0.00806043
5,7,8,-0.00638297
5,7,9,-0.00505461
5,8,0,-0.0508265
5,8,1,-0.040249
5,8,2,-0.0318728
5,8,3,-0.0252397
5,8,4,-0.0199871
5,8,5,-0.0158275
5,8,6,-0.0125337
5,8,7,-0.00992528
5,8,8,-0.00785972
5,8,9,-0.00622403
5,9,0,-0.017609
5,9,1,-0.0139444
5,9,2,-0.0110424
5,9,3,-0.00874437
5,9,4,-0.00692458
5,9,5,-0.0054835
5,9,6,-0.00434233
5,9,7,-0.00343864
5,9,8,-0.00272303
5,9,9,-0.00215634
6,0,0,0.219242
6,0,1,0.173615
6,0,2,0.137484
6,0,3,0.108872
6,0,4,0.0862148
6,0,5,0.0682726
6,0,6,0.0540643
6,0,7,0.042813
6,0,8,0.0339032
6,0,9,0.0268476
6,1,0,-0.0059226
6,1,1,-0.00469005
6,1,2,-0.003714
6,1,3,-0.00294108
6,1,4,-0.00232901
6,1,5,-0.00184432
6,1,6,-0.0014605
6,1,7,-0.00115655
6,1,8,-0.000915861
6,1,9,-0.000725261
6,2,0,-0.142552
6,2,1,-0.112886
6,2,2,-0.0893929
6,2,3,-0.0707893
6,2,4,-0.0560573
6,2,5,-0.0443912
6,2,6,-0.0351529
6,2,7,-0.0278372
6,2,8,-0.022044
6,2,9,-0.0174564
6,3,0,-0.118271
6,3,1,-0.0936573
6,3,2,-0.0741663
6,3,3,-0.0587315
6,3,4,-0.0465089
6,3,5,-0.0368299
6,3,6,-0.0291652
6,3,7,-0.0230956
6,3,8,-0.0182892
6,3,9,-0.014483
6,4,0,-0.0118136
6,4,1,-0.00935508
6,4,2,-0.00740819
6,4,3,-0.00586647
6,4,4,-0.00464559
6,4,5,-0.0036788
6,4,6,-0.0029132
6,4,7,-0.00230693
6,4,8,-0.00182684
6,4,9,-0.00144665
6,5,0,0.0640571
6,5,1,0.0507262
6,5,2,0.0401695
6,5,3,0.0318098
6,5,4,0.0251899
6,5,5,0.0199476
6,5,6,0.0157963
6,5,7,0.0125089
6,5,8,0.00990568
6,5,9,0.00784421
6,6,0,0.0622231
6,6,1,0.0492738
6,6,2,0.0390194
6,6,3,0.0308991
6,6,4,0.0244687
6,6,5,0.0193765
6,6,6,0.015344
6,6,7,0.0121508
6,6,8,0.00962207
6,6,9,0.00761962
6,7,0,0.013076
6,7,1,0.0103548
6,7,2,0.00819983
6,7,3,0.00649336
6,7,4,0.00514202
6,7,5,0.00407191
6,7,6,0.00322451
6,7,7,0.00255345
6,7,8,0.00202205
6,7,9,0.00160124
6,8,0,-0.02783
6,8,1,-0.0220383
6,8,2,-0.0174519
6,8,3,-0.01382
6,8,4,-0.0109439
6,8,5,-0.00866636
6,8,6,-0.0068628
6,8,7,-0.00543458
6,8,8,-0.00430359
6,8,9,-0.00340797
6,9,0,-0.0320145
6,9,1,-0.025352
6,9,2,-0.020076
6,9,3,-0.0158979
6,9,4,-0.0125894
6,9,5,-0.00996943
6,9,6,-0.00789469
6,9,7,-0.00625172
6,9,8,-0.00495067
6,9,9,-0.00392039
7,0,0,0.200022
7,0,1,0.158396
7,0,2,0.125432
7,0,3,0.0993281
7,0,4,0.0786569
7,0,5,0.0622876
7,0,6,0.0493249
7,0,7,0.0390599
7,0,8,0.0309311
7,0,9,0.024494
7,1,0,0.133992
7,1,1,0.106107
7,1,2,0.0840249
7,1,3,0.0665384
7,1,4,0.0526911
7,1,5,0.0417255
7,1,6,0.033042
7,1,7,0.0261656
7,1,8,0.0207203
7,1,9,0.0164082
7,2,0,-0.0107723
7,2,1,-0.00853047
7,2,2,-0.00675519
7,2,3,-0.00534936
7,2,4,-0.0042361
7,2,5,-0.00335453
7,2,6,-0.00265641
7,2,7,-0.00210359
7,2,8,-0.00166581
7,2,9,-0.00131914
7,3,0,-0.0932429
7,3,1,-0.0738381
7,3,2,-0.0584716
7,3,3,-0.0463031
7,3,4,-0.0366669
7,3,5,-0.0290361
7,3,6,-0.0229934
7,3,7,-0.0182083
7,3,8,-0.0144189
7,3,9,-0.0114182
7,4,0,-0.0730346
7,4,1,-0.0578353
7,4,2,-0.0457992
7,4,3,-0.0362679
7,4,4,-0.0287202
7,4,5,-0.0227432
7,4,6,-0.0180101
7,4,7,-0.014262
7,4,8,-0.0112939
7,4,9,-0.00894356
7,5,0,-0.00402552
7,5,1,-0.00318776
7,5,2,-0.00252436
7,5,3,-0.00199901
7,5,4,-0.001583
7,5,5,-0.00125356
7,5,6,-0.00099268
7,5,7,-0.000786093
7,5,8,-0.000622499
7,5,9,-0.00049295
7,6,0,0.0423545
7,6,1,0.0335401
7,6,2,0.02656
7,6,3,0.0210326
7,6,4,0.0166555
7,6,5,0.0131893
7,6,6,0.0104445
7,6,7,0.00827088
7,6,8,0.00654963
7,6,9,0.00518658
7,7,0,0.0387679
7,7,1,0.0306999
7,7,2,0.0243109
7,7,3,0.0192516
7,7,4,0.0152451
7,7,5,0.0120725
7,7,6,0.00956005
7,7,7,0.00757051
7,7,8,0.005995
7,7,9,0.00474738
7,8,0,0.00661443
7,8,1,0.0052379
7,8,2,0.00414784
7,8,3,0.00328463
7,8,4,0.00260106
7,8,5,0.00205975
7,8,6,0.0016311
7,8,7,0.00129165
7,8,8,0.00102284
7,8,9,0.000809979
7,9,0,-0.0186508
7,9,1,-0.0147694
7,9,2,-0.0116957
7,9,3,-0.00926174
7,9,4,-0.00733427
7,9,5,-0.00580793
7,9,6,-0.00459924
7,9,7,-0.00364209
7,9,8,-0.00288413
7,9,9,-0.00228392
8,0,0,0.0463321
8,0,1,0.0366899
8,0,2,0.0290544
8,0,3,0.0230078
8,0,4,0.0182197
8,0,5,0.014428
8,0,6,0.0114254
8,0,7,0.00904762
8,0,8,0.00716472
8,0,9,0.00567367
8,1,0,0.129232
8,1,1,0.102338
8,1,2,0.0810401
8,1,3,0.0641748
8,1,4,0.0508193
8,1,5,0.0402433
8,1,6,0.0318683
8,1,7,0.0252361
8,1,8,0.0199842
8,1,9,0.0158253
8,2,0,0.0815321
8,2,1,0.0645644
8,2,2,0.0511279
8,2,3,0.0404876
8,2,4,0.0320617
8,2,5,0.0253894
8,2,6,0.0201056
8,2,7,0.0159214
8,2,8,0.012608
8,2,9,0.00998413
8,3,0,-0.0112715
8,3,1,-0.00892575
8,3,2,-0.00706821
8,3,3,-0.00559724
8,3,4,-0.0044324
8,3,5,-0.00350997
8,3,6,-0.00277951
8,3,7,-0.00220106
8,3,8,-0.001743
8,3,9,-0.00138026
8,4,0,-0.0607731
8,4,1,-0.0481256
8,4,2,-0.0381101
8,4,3,-0.030179
8,4,4,-0.0238985
8,4,5,-0.0189249
8,4,6,-0.0149865
8,4,7,-0.0118676
8,4,8,-0.00939785
8,4,9,-0.00744206
8,5,0,-0.0449365
8,5,1,-0.0355848
8,5,2,-0.0281792
8,5,3,-0.0223148
8,5,4,-0.0176709
8,5,5,-0.0139934
8,5,6,-0.0110812
