t,x,y,z
5,1,0,-0.448187
5,1,1,-0.433494
5,1,2,-0.419282
5,1,3,-0.405536
5,1,4,-0.392241
5,1,5,-0.379382
5,1,6,-0.366944
5,1,7,-0.354914
5,1,8,-0.343279
5,1,9,-0.332025
5,2,0,-0.30262
5,2,1,-0.292699
5,2,2,-0.283103
5,2,3,-0.273822
5,2,4,-0.264845
5,2,5,-0.256162
5,2,6,-0.247764
5,2,7,-0.239641
5,2,8,-0.231785
5,2,9,-0.224186
5,3,0,-0.109244
5,3,1,-0.105663
5,3,2,-0.102198
5,3,3,-0.098848
5,3,4,-0.0956074
5,3,5,-0.092473
5,3,6,-0.0894414
5,3,7,-0.0865091
5,3,8,-0.083673
5,3,9,-0.0809299
5,4,0,0.0923082
5,4,1,0.089282
5,4,2,0.086355
5,4,3,0.0835239
5,4,4,0.0807857
5,4,5,0.0781372
5,4,6,0.0755756
5,4,7,0.0730979
5,4,8,0.0707015
5,4,9,0.0683836
5,5,0,0.263415
5,5,1,0.254779
5,5,2,0.246426
5,5,3,0.238348
5,5,4,0.230534
5,5,5,0.222976
5,5,6,0.215666
5,5,7,0.208595
5,5,8,0.201757
5,5,9,0.195143
5,6,0,0.373699
5,6,1,0.361448
5,6,2,0.349598
5,6,3,0.338137
5,6,4,0.327052
5,6,5,0.31633
5,6,6,0.305959
5,6,7,0.295929
5,6,8,0.286227
5,6,9,0.276843
5,7,0,0.40624
5,7,1,0.392922
5,7,2,0.380041
5,7,3,0.367581
5,7,4,0.355531
5,7,5,0.343875
5,7,6,0.332601
5,7,7,0.321697
5,7,8,0.311151
5,7,9,0.30095
5,8,0,0.359901
5,8,1,0.348102
5,8,2,0.33669
5,8,3,0.325652
5,8,4,0.314976
5,8,5,0.304649
5,8,6,0.294662
5,8,7,0.285002
5,8,8,0.275658
5,8,9,0.266621
5,9,0,0.248527
5,9,1,0.240379
5,9,2,0.232498
5,9,3,0.224876
5,9,4,0.217504
5,9,5,0.210373
5,9,6,0.203476
5,9,7,0.196806
5,9,8,0.190354
5,9,9,0.184113
6,0,0,-0.728119
6,0,1,-0.704248
6,0,2,-0.68116
6,0,3,-0.658829
6,0,4,-0.63723
6,0,5,-0.616339
6,0,6,-0.596133
6,0,7,-0.57659
6,0,8,-0.557687
6,0,9,-0.539404
6,1,0,-0.63583
6,1,1,-0.614985
6,1,2,-0.594824
6,1,3,-0.575323
6,1,4,-0.556462
6,1,5,-0.538219
6,1,6,-0.520574
6,1,7,-0.503508
6,1,8,-0.487001
6,1,9,-0.471035
6,2,0,-0.429318
6,2,1,-0.415244
6,2,2,-0.40163
6,2,3,-0.388463
6,2,4,-0.375728
6,2,5,-0.36341
6,2,6,-0.351496
6,2,7,-0.339973
6,2,8,-0.328827
6,2,9,-0.318047
6,3,0,-0.154981
6,3,1,-0.149901
6,3,2,-0.144986
6,3,3,-0.140233
6,3,4,-0.135636
6,3,5,-0.131189
6,3,6,-0.126888
6,3,7,-0.122728
6,3,8,-0.118705
6,3,9,-0.114813
6,4,0,0.130955
6,4,1,0.126662
6,4,2,0.122509
6,4,3,0.118493
6,4,4,0.114608
6,4,5,0.110851
6,4,6,0.107217
6,4,7,0.103702
6,4,8,0.100302
6,4,9,0.0970139
6,5,0,0.373699
6,5,1,0.361448
6,5,2,0.349598
6,5,3,0.338137
6,5,4,0.327052
6,5,5,0.31633
6,5,6,0.305959
6,5,7,0.295929
6,5,8,0.286227
6,5,9,0.276843
6,6,0,0.530157
6,6,1,0.512777
6,6,2,0.495966
6,6,3,0.479706
6,6,4,0.46398
6,6,5,0.448768
6,6,6,0.434056
6,6,7,0.419826
6,6,8,0.406062
6,6,9,0.39275
6,7,0,0.576322
6,7,1,0.557428
6,7,2,0.539153
6,7,3,0.521478
6,7,4,0.504382
6,7,5,0.487846
6,7,6,0.471853
6,7,7,0.456383
6,7,8,0.441421
6,7,9,0.42695
6,8,0,0.510581
6,8,1,0.493843
6,8,2,0.477652
6,8,3,0.461993
6,8,4,0.446847
6,8,5,0.432198
6,8,6,0.418029
6,8,7,0.404324
6,8,8,0.391069
6,8,9,0.378248
6,9,0,0.352578
6,9,1,0.341019
6,9,2,0.329839
6,9,3,0.319026
6,9,4,0.308567
6,9,5,0.298451
6,9,6,0.288666
6,9,7,0.279203
6,9,8,0.270049
6,9,9,0.261196
7,0,0,-0.791522
7,0,1,-0.765573
7,0,2,-0.740474
7,0,3,-0.716198
7,0,4,-0.692719
7,0,5,-0.670009
7,0,6,-0.648043
7,0,7,-0.626798
7,0,8,-0.606249
7,0,9,-0.586374
7,1,0,-0.691197
7,1,1,-0.668537
7,1,2,-0.64662
7,1,3,-0.625421
7,1,4,-0.604917
7,1,5,-0.585086
7,1,6,-0.565904
7,1,7,-0.547352
7,1,8,-0.529407
7,1,9,-0.512051
7,2,0,-0.466702
7,2,1,-0.451402
7,2,2,-0.436603
7,2,3,-0.42229
7,2,4,-0.408445
7,2,5,-0.395055
7,2,6,-0.382104
7,2,7,-0.369577
7,2,8,-0.357461
7,2,9,-0.345742
7,3,0,-0.168477
7,3,1,-0.162953
7,3,2,-0.157611
7,3,3,-0.152444
7,3,4,-0.147446
7,3,5,-0.142613
7,3,6,-0.137937
7,3,7,-0.133415
7,3,8,-0.129041
7,3,9,-0.124811
7,4,0,0.142358
7,4,1,0.137691
7,4,2,0.133177
7,4,3,0.128811
7,4,4,0.124588
7,4,5,0.120504
7,4,6,0.116553
7,4,7,0.112732
7,4,8,0.109036
7,4,9,0.105462
7,5,0,0.40624
7,5,1,0.392922
7,5,2,0.380041
7,5,3,0.367581
7,5,4,0.355531
7,5,5,0.343875
7,5,6,0.332601
7,5,7,0.321697
7,5,8,0.311151
7,5,9,0.30095
7,6,0,0.576322
7,6,1,0.557428
7,6,2,0.539153
7,6,3,0.521478
7,6,4,0.504382
7,6,5,0.487846
7,6,6,0.471853
7,6,7,0.456383
7,6,8,0.441421
7,6,9,0.42695
7,7,0,0.626507
7,7,1,0.605967
7,7,2,0.586101
7,7,3,0.566887
7,7,4,0.548302
7,7,5,0.530326
7,7,6,0.51294
7,7,7,0.496124
7,7,8,0.479859
7,7,9,0.464128
7,8,0,0.555041
7,8,1,0.536845
7,8,2,0.519245
7,8,3,0.502222
7,8,4,0.485757
7,8,5,0.469832
7,8,6,0.45443
7,8,7,0.439532
7,8,8,0.425122
7,8,9,0.411185
7,9,0,0.383279
7,9,1,0.370714
7,9,2,0.358561
7,9,3,0.346806
7,9,4,0.335436
7,9,5,0.324439
7,9,6,0.313803
7,9,7,0.303515
7,9,8,0.293565
7,9,9,0.28394
8,0,0,-0.701233
8,0,1,-0.678244
8,0,2,-0.656009
8,0,3,-0.634502
8,0,4,-0.613701
8,0,5,-0.593581
8,0,6,-0.574121
8,0,7,-0.555299
8,0,8,-0.537095
8,0,9,-0.519486
8,1,0,-0.612353
8,1,1,-0.592277
8,1,2,-0.57286
8,1,3,-0.55408
8,1,4,-0.535915
8,1,5,-0.518345
8,1,6,-0.501352
8,1,7,-0.484916
8,1,8,-0.469018
8,1,9,-0.453642
8,2,0,-0.413466
8,2,1,-0.399911
8,2,2,-0.3868
8,2,3,-0.374119
8,2,4,-0.361854
8,2,5,-0.349991
8,2,6,-0.338517
8,2,7,-0.327419
8,2,8,-0.316685
8,2,9,-0.306303
8,3,0,-0.149259
8,3,1,-0.144365
8,3,2,-0.139633
8,3,3,-0.135055
8,3,4,-0.130627
8,3,5,-0.126345
8,3,6,-0.122203
8,3,7,-0.118196
8,3,8,-0.114322
8,3,9,-0.110574
8,4,0,0.12612
8,4,1,0.121985
8,4,2,0.117986
8,4,3,0.114118
8,4,4,0.110377
8,4,5,0.106758
8,4,6,0.103258
8,4,7,0.0998728
8,4,8,0.0965986
8,4,9,0.0934317
8,5,0,0.359901
8,5,1,0.348102
8,5,2,0.33669
8,5,3,0.325652
8,5,4,0.314976
8,5,5,0.304649
8,5,6,0.294662
8,5,7,0.285002
8,5,8,0.275658
8,5,9,0.266621
8,6,0,0.510581
8,6,1,0.493843
8,6,2,0.477652
8,6,3,0.461993
8,6,4,0.446847
8,6,5,0.432198
8,6,6,0.418029
8,6,7,0.404324
8,6,8,0.391069
8,6,9,0.378248
8,7,0,0.555041
8,7,1,0.536845
8,7,2,0.519245
8,7,3,0.502222
8,7,4,0.485757
8,7,5,0.469832
8,7,6,0.45443
8,7,7,0.439532
8,7,8,0.425122
8,7,9,0.411185
8,8,0,0.491728
8,8,1,0.475608
8,8,2,0.460015
8,8,3,0.444934
8,8,4,0.430347
8,8,5,0.416239
8,8,6,0.402593
8,8,7,0.389395
8,8,8,0.376629
8,8,9,0.364281
8,9,0,0.339559
8,9,1,0.328427
8,9,2,0.31766
8,9,3,0.307246
8,9,4,0.297173
8,9,5,0.287431
8,9,6,0.278007
8,9,7,0.268893
8,9,8,0.260078
8,9,9,0.251552
9,0,0,-0.484231
9,0,1,-0.468356
9,0,2,-0.453002
9,0,3,-0.43815
9,0,4,-0.423786
9,0,5,-0.409893
9,0,6,-0.396455
9,0,7,-0.383458
9,0,8,-0.370886
9,0,9,-0.358727
9,1,0,-0.422855
9,1,1,-0.408992
9,1,2,-0.395584
9,1,3,-0.382615
9,1,4,-0.370072
9,1,5,-0.357939
9,1,6,-0.346205
9,1,7,-0.334855
9,1,8,-0.323877
9,1,9,-0.313259
9,2,0,-0.285516
9,2,1,-0.276155
9,2,2,-0.267102
9,2,3,-0.258345
9,2,4,-0.249876
9,2,5,-0.241684
9,2,6,-0.23376
9,2,7,-0.226097
9,2,8,-0.218684
9,2,9,-0.211515
9,3,0,-0.103069
9,3,1,-0.0996904
9,3,2,-0.0964222
9,3,3,-0.0932611
9,3,4,-0.0902036
9,3,5,-0.0872464
9,3,6,-0.0843861
9,3,7,-0.0816196
9,3,8,-0.0789438
9,3,9,-0.0763557
9,4,0,0.0870909
9,4,1,0.0842357
9,4,2,0.0814741
9,4,3,0.0788031
9,4,4,0.0762196
9,4,5,0.0737209
9,4,6,0.071304
9,4,7,0.0689664
9,4,8,0.0667054
9,4,9,0.0645185
9,5,0,0.248527
9,5,1,0.240379
9,5,2,0.232498
9,5,3,0.224876
9,5,4,0.217504
9,5,5,0.210373
9,5,6,0.203476
9,5,7,0.196806
9,5,8,0.190354
9,5,9,0.184113
9,6,0,0.352578
9,6,1,0.341019
9,6,2,0.329839
9,6,3,0.319026
9,6,4,0.308567
9,6,5,0.298451
9,6,6,0.288666
9,6,7,0.279203
9,6,8,0.270049
9,6,9,0.261196
9,7,0,0.383279
9,7,1,0.370714
9,7,2,0.358561
9,7,3,0.346806
9,7,4,0.335436
9,7,5,0.324439
9,7,6,0.313803
9,7,7,0.303515
9,7,8,0.293565
9,7,9,0.28394
9,8,0,0.339559
9,8,1,0.328427
9,8,2,0.31766
9,8,3,0.307246
9,8,4,0.297173
9,8,5,0.287431
9,8,6,0.278007
9,8,7,0.268893
9,8,8,0.260078
9,8,9,0.251552
9,9,0,0.23448
9,9,1,0.226793
9,9,2,0.219357
9,9,3,0.212166
9,9,4,0.20521
9,9,5,0.198483
9,9,6,0.191976
9,9,7,0.185682
9,9,8,0.179595
9,9,9,0.173707
